algo_fullstrong,algo_pscost,feature_constraint_degree_max,feature_constraint_degree_mean,feature_constraint_degree_min,feature_constraint_degree_stdev,feature_continuous_variables,feature_feasible_round_downs,feature_feasible_round_ups,feature_integer_variables,feature_lattice_flatness,feature_lhs_coefficient_max,feature_lhs_coefficient_mean,feature_lhs_coefficient_min,feature_lhs_coefficient_stdev,feature_nonzeros,feature_objective_max,feature_objective_mean,feature_objective_min,feature_objective_stdev,feature_prob_feasible_rounding,feature_relaxation_integer_violations,feature_relaxation_total_fractionality,feature_rhs_max,feature_rhs_mean,feature_rhs_min,feature_rhs_stdev,feature_svd_condition,feature_svd_largest,feature_svd_smallest,feature_variable_degree_max,feature_variable_degree_mean,feature_variable_degree_min,feature_variable_degree_stdev,feature_vc_adjacency_eigenvalue_stdev,feature_vc_algebraic_connectivity,feature_vc_energy,feature_vc_girth,feature_vc_revised_szeged_index,feature_vc_szeged_index,source,instances
9,21,8.0,3.1,1.0,2.72641,3.0,0.0,2.0,7.0,1.0,-0.780198,-1.40167,-2.12746,0.368652,31.0,14.2022,4.23546,0.0,4.59403,0.493,2.0,0.440463,0.806722,-2.29173,-6.97674,2.28659,13.6184,6.79943,0.499283,5.0,3.1,1.0,1.19722,1.24552,0.0,1.27524,4.0,2075.5,748.0,Diversified,inst_0386
1,1,9.0,4.9,1.0,2.60128,2.0,0.0,4.0,8.0,3.15318e-309,2.38177,0.0656557,-2.15302,0.926349,49.0,6.44259,0.510541,-3.94623,3.03007,0.128,4.0,0.640289,7.11618,0.804714,-5.81767,3.93874,586.616,3.72805,0.00635518,8.0,4.9,1.0,2.5144,1.67933,0.7832,1.49026,4.0,3123.0,3123.0,Diversified,inst_0130
15,33,10.0,6.8,2.0,2.65832,4.0,1.0,1.0,6.0,0.0807955,2.92107,0.923122,-0.786213,0.803135,68.0,-2.42678,-19.8706,-44.396,12.0039,0.0,4.0,0.30699,76.7313,24.8576,0.446626,30.6695,88.2642,7.47454,0.0846837,9.0,6.8,4.0,1.47573,2.04692,1.77943,1.67917,4.0,4942.0,4942.0,Diversified,inst_0479
2,34,10.0,7.4,2.0,2.59058,0.0,8.0,4.0,10.0,0.0651497,2.42461,1.28449,0.0868141,0.506663,74.0,-2.70047,-14.0074,-23.4862,7.07041,0.079,8.0,0.483721,15.6951,10.8816,1.32195,4.20783,44.0777,10.2085,0.231602,10.0,7.4,4.0,1.7127,2.23424,1.83265,1.63026,4.0,5424.0,5424.0,Diversified,inst_0774
5,9,9.0,7.5,2.0,2.27303,2.0,0.0,2.0,8.0,1.0,0.733407,-0.0856176,-0.591186,0.305963,75.0,11.1495,2.83241,-0.494892,3.8191,0.127,3.0,0.479047,2.74592,0.708347,-0.0752682,0.885113,23.2429,1.50469,0.0647375,9.0,7.5,2.0,2.12132,2.30825,1.71208,1.56153,4.0,5693.0,5693.0,Diversified,inst_0343
1,7,4.0,2.0,1.0,1.05409,3.0,2.0,0.0,7.0,2.02669e-13,2.66494,1.13137,0.0604345,0.600965,20.0,3.88124,0.813012,-1.37929,1.76328,0.508,2.0,0.473713,9.70806,3.26733,0.0,3.26013,16.5013,4.20809,0.255015,5.0,2.0,1.0,1.49071,0.773676,0.0,1.19639,4.0,1498.0,278.0,Diversified,inst_0248
40,64,7.0,2.0,1.0,2.0,0.0,0.0,5.0,10.0,1.0,-0.533014,-1.84972,-3.38431,0.696555,20.0,20.8237,4.6337,0.313919,6.45197,0.038,5.0,1.50424,-0.410628,-2.49148,-6.30991,1.86922,4.7511,5.9753,1.25766,4.0,2.0,1.0,1.24722,0.910722,0.0,1.10093,4.0,1274.0,266.0,Diversified,inst_0822
1,1,9.0,3.7,1.0,3.4335,2.0,0.0,1.0,8.0,1.0,0.375092,-1.15811,-2.88955,0.877778,37.0,5.91597,2.85655,-0.482351,2.54699,0.479,1.0,0.445571,8.39375,1.294,-4.23139,3.68448,87.3878,7.04682,0.0806385,6.0,3.7,1.0,1.56702,1.46568,0.455925,1.28809,4.0,1993.0,1993.0,Diversified,inst_0338
3,3,5.0,2.2,1.0,1.31656,1.0,1.0,0.0,9.0,1.03342e-13,0.525285,0.213895,-0.035536,0.162083,22.0,11.013,1.57442,-1.54665,3.78784,0.521,1.0,0.00136853,4.1876,1.37657,0.0,1.406,29.268,0.874985,0.0298956,5.0,2.2,1.0,1.61933,0.889377,0.0,1.20356,4.0,1522.0,424.0,Diversified,inst_0903
1,1,10.0,7.2,2.0,2.82056,0.0,0.0,1.0,10.0,1.0,-0.300192,-0.853852,-1.3351,0.220311,72.0,7.26525,3.30555,1.0,2.21346,0.479,1.0,1.04541e-07,2.29665,-1.62168,-3.54738,1.90722,319.686,6.9241,0.0216591,9.0,7.2,1.0,2.61619,2.42622,0.939986,1.26799,4.0,5416.0,5416.0,Diversified,inst_0363
3,21,6.0,3.7,1.0,1.88856,2.0,0.0,7.0,8.0,1.0,-0.32741,-1.1213,-1.82394,0.41899,37.0,9.36129,5.71969,0.400274,3.30046,0.035,7.0,2.07897,0.0,-6.65945,-17.8743,5.76126,24.0361,5.50045,0.228841,8.0,3.7,1.0,2.40601,1.3055,0.347071,1.44253,4.0,2212.0,2212.0,Diversified,inst_0912
1,1,6.0,1.8,1.0,1.75119,1.0,4.0,3.0,9.0,3.16769e-309,1.19514,-0.273072,-1.83509,0.797287,18.0,6.32007,0.0563891,-5.1697,2.73678,0.0,8.0,1.86568,1.04027,-0.98421,-3.67019,1.61384,84.1936,2.39493,0.0284455,3.0,1.8,1.0,0.788811,0.840473,0.0,1.06251,4.0,1269.0,161.0,Diversified,inst_0178
4,15,7.0,2.3,1.0,2.05751,0.0,1.0,4.0,10.0,2.44457e-309,1.19368,-0.738062,-2.23359,0.890356,23.0,6.09667,1.51828,-4.02809,3.32071,0.0,7.0,1.94727,3.16134,-0.7682,-6.30378,2.74821,36.2795,3.64528,0.100478,4.0,2.3,1.0,1.33749,0.944884,0.0,1.20492,4.0,1383.0,549.0,Diversified,inst_0604
5,11,10.0,9.7,9.0,0.483046,4.0,0.0,1.0,6.0,1.0,0.761804,-0.626063,-1.82201,0.53124,97.0,7.7739,4.22023,-0.376466,2.50762,0.479,1.0,0.000632256,2.54198,-2.6752,-5.56046,2.13196,42.3569,6.41162,0.151371,10.0,9.7,8.0,0.674949,2.95485,7.25906,1.18549,4.0,7797.0,7797.0,Diversified,inst_0033
263,299,7.0,4.8,3.0,1.39841,1.0,6.0,0.0,9.0,8.53215e-14,2.68815,1.98852,0.823804,0.409691,48.0,-4.91642,-21.0853,-35.2961,8.8266,0.157,6.0,1.71026,30.4857,13.2886,0.0,12.7819,85.5892,12.454,0.145509,9.0,4.8,1.0,3.8239,1.82005,0.2842,1.28572,4.0,3101.0,3101.0,Diversified,inst_0760
1,1,10.0,7.2,2.0,2.97396,7.0,0.0,1.0,3.0,1.0,-0.831169,-1.07989,-1.35474,0.12004,72.0,3.64343,2.22745,0.0,1.17034,0.479,1.0,0.304883,0.589824,-2.00926,-4.27739,1.71793,285.404,8.56356,0.030005,10.0,7.2,3.0,1.98886,2.27061,1.80135,1.51727,4.0,5250.0,5250.0,Diversified,inst_0051
19,21,4.0,2.0,1.0,1.1547,1.0,3.0,1.0,9.0,5.563e-321,4.08898,1.99934,-0.0341942,1.14148,20.0,2.52726,-6.72481,-18.0171,6.72663,0.071,4.0,0.664237,16.6177,6.00883,-0.170971,5.60772,226.158,7.73328,0.0341942,5.0,2.0,1.0,1.63299,0.957054,0.0,1.06294,4.0,1586.0,138.0,Diversified,inst_0426
33,49,9.0,5.4,1.0,3.30656,3.0,1.0,1.0,7.0,3.83073e-13,2.21897,0.638164,-1.49519,0.810857,54.0,0.221195,-19.6897,-43.021,17.2945,0.508,2.0,0.315757,14.3124,4.78192,0.0,4.60779,32.2997,5.37324,0.166356,9.0,5.4,1.0,2.319,1.90292,0.0,1.39998,4.0,3868.0,2886.0,Diversified,inst_0396
5,27,9.0,7.1,1.0,2.42441,1.0,0.0,3.0,9.0,1.0,-0.607506,-1.96199,-3.04197,0.567158,71.0,30.641,22.3796,4.49935,7.65174,0.492,3.0,0.846437,0.0,-5.91348,-9.6842,3.46071,78.8535,15.8768,0.201345,9.0,7.1,1.0,2.80674,2.3669,0.0,1.33338,4.0,5523.0,4252.0,Diversified,inst_0258
15,17,9.0,6.2,1.0,3.2249,0.0,1.0,0.0,10.0,0.278791,2.30253,1.84649,1.05004,0.285804,62.0,2.0,-3.46428,-6.21123,2.7523,0.521,1.0,0.155203,6.50353,4.25709,1.84724,1.49817,571.04,13.6789,0.0239543,9.0,6.2,2.0,2.4404,2.16362,0.385637,1.32394,4.0,4457.0,4457.0,Diversified,inst_0925
1,1,9.0,4.7,1.0,3.30151,0.0,1.0,1.0,10.0,1.46797e-309,2.392,0.737506,-1.19034,0.82377,47.0,3.0,0.98632,-0.700731,1.40102,1.0,1.0,2.22045e-16,7.57326,3.03866,0.0763016,2.60313,16.9403,5.46659,0.322697,7.0,4.7,2.0,1.94651,1.78691,0.0,1.29097,4.0,3235.25,1960.0,Diversified,inst_0293
31,39,10.0,6.5,1.0,3.17105,1.0,0.0,2.0,9.0,1.0,0.938732,-0.200015,-0.944007,0.322786,65.0,8.41987,4.01708,-1.16398,3.00624,0.742,2.0,0.126913,2.01682,-0.0893675,-1.97241,1.41022,27.0169,1.98888,0.0736162,9.0,6.5,3.0,2.06828,2.13938,0.784397,1.46694,4.0,4653.0,4653.0,Diversified,inst_0510
1,5,9.0,6.0,1.0,2.82843,2.0,0.0,2.0,8.0,1.0,0.0224444,-0.99795,-2.23282,0.512542,60.0,2.53827,1.50945,0.618415,0.729791,0.232,3.0,0.544557,-0.650249,-8.33147,-21.8328,7.11575,21.0231,7.08391,0.336958,9.0,6.0,1.0,2.62467,2.04372,0.0,1.42549,4.0,4572.0,3488.0,Diversified,inst_0742
1,1,6.0,2.1,1.0,1.59513,4.0,0.0,1.0,6.0,1.0,-0.117943,-0.723594,-1.5248,0.391398,21.0,7.03352,1.44148,0.0,2.11096,0.479,1.0,0.481785,4.19399,0.742426,-4.53328,2.26657,9.954,2.86406,0.28773,6.0,2.1,1.0,1.85293,0.972759,0.0,1.09593,4.0,1395.0,342.0,Diversified,inst_0601
1,1,10.0,8.2,1.0,2.57337,4.0,0.0,0.0,6.0,1.0,-1.30025,-1.69591,-2.15076,0.203052,82.0,5.4461,2.08294,0.0133406,1.82844,1.0,0.0,0.0,4.64341,1.13625,0.0935147,1.38619,544.538,15.1409,0.0278051,10.0,8.2,1.0,2.57337,2.68215,0.895805,1.16866,4.0,6444.0,6444.0,Diversified,inst_0686
1,1,10.0,8.2,1.0,2.82056,3.0,0.0,0.0,7.0,0.0987804,2.59019,1.23818,-0.33353,0.718259,82.0,4.95963,0.116786,-3.17362,2.58088,1.0,0.0,0.0,15.2555,9.15905,0.0,4.48663,29.0256,11.0005,0.378992,10.0,8.2,6.0,1.0328,2.52404,0.944001,1.46552,4.0,6304.0,6304.0,Diversified,inst_0117
1,1,6.0,3.6,1.0,1.89737,5.0,0.0,0.0,5.0,1.85584e-12,3.80161,2.03958,-0.559597,1.04922,36.0,2.0,-1.55825,-4.60505,2.34746,1.0,0.0,0.0,4.4915,2.2792,0.0,1.40927,19.9076,11.4483,0.575072,7.0,3.6,1.0,2.75681,1.54356,0.0,1.1561,4.0,2825.5,878.0,Diversified,inst_0459
1,1,10.0,8.4,5.0,1.42984,7.0,0.0,0.0,3.0,1.0,-0.123898,-0.356381,-0.694226,0.118557,84.0,7.32926,2.17078,0.649003,1.94552,1.0,0.0,0.0,2.00143,0.661868,-0.246875,0.812511,1981.74,3.23344,0.00163161,10.0,8.4,1.0,2.75681,2.65056,0.944048,1.3137,4.0,6478.0,6478.0,Diversified,inst_0863
1,1,3.0,1.5,1.0,0.849837,1.0,0.0,3.0,9.0,-9.3199e-319,0.596861,-0.265302,-1.25724,0.479818,15.0,9.43751,1.87961,-0.169932,3.33406,0.112,3.0,0.4964,4.06583,0.389867,-2.55777,1.75355,31.0178,1.25724,0.0405327,3.0,1.5,1.0,0.849837,0.612036,0.0,1.06965,4.0,1121.0,66.0,Diversified,inst_0969
167,145,10.0,9.5,9.0,0.527046,2.0,1.0,0.0,8.0,0.137164,0.671946,0.0551199,-0.673672,0.30444,95.0,1.92272,-0.164691,-2.5961,1.34474,0.009,7.0,1.71404,2.43488,1.22369,-1.2552,1.13949,41.9544,1.61957,0.0386031,10.0,9.5,6.0,1.2693,2.91305,5.52342,1.19935,4.0,7561.0,7561.0,Diversified,inst_0953
77,109,9.0,6.6,1.0,2.54733,1.0,4.0,3.0,9.0,0.23891,0.797156,0.504315,0.250794,0.127944,66.0,-0.264787,-4.5862,-9.13627,3.20827,0.933,4.0,0.497164,7.34916,3.88554,1.67308,1.76076,55.0978,3.83974,0.0696895,10.0,6.6,1.0,2.91357,2.24094,0.607881,1.3525,4.0,4759.0,4759.0,Diversified,inst_0709
25,39,9.0,3.9,1.0,3.28126,1.0,6.0,1.0,9.0,0.133852,1.98247,1.29849,0.727952,0.270466,39.0,8.01939,-2.68707,-8.59688,5.03469,0.229,6.0,2.253,7.68281,4.26126,1.64566,2.18812,30.0569,7.25444,0.241357,7.0,3.9,1.0,2.079,1.53598,0.0,1.28792,4.0,2512.0,1785.0,Diversified,inst_0820
1,1,7.0,2.0,1.0,2.0,1.0,0.0,3.0,9.0,1.0,0.0167138,-0.607929,-1.62559,0.452209,20.0,4.41624,0.982947,0.0,1.47052,0.112,3.0,0.226681,0.304357,-0.106229,-1.43269,0.480883,53.4488,2.65805,0.0497308,4.0,2.0,1.0,1.24722,0.910722,0.0,1.10093,4.0,1274.0,266.0,Diversified,inst_0399
95,103,10.0,8.4,5.0,1.57762,1.0,4.0,1.0,9.0,0.192797,3.18744,1.16315,-0.293968,0.616891,84.0,-6.06736,-11.9266,-21.45,5.38547,0.291,5.0,0.96261,17.4519,10.2539,2.49787,4.5745,32.1238,10.33,0.32157,10.0,8.4,5.0,1.95505,2.55935,4.31267,1.47556,4.0,6332.0,6332.0,Diversified,inst_0175
9,31,10.0,7.8,2.0,2.85968,4.0,2.0,1.0,6.0,0.165244,3.30918,1.02415,-1.13058,0.985115,78.0,-2.31957,-9.14274,-15.7894,3.98848,0.239,3.0,0.792927,16.878,10.6915,3.43554,4.27286,156.04,9.54274,0.0611558,10.0,7.8,6.0,1.39841,2.45688,1.76906,1.43721,4.0,5860.0,5860.0,Diversified,inst_0818
1,1,9.0,6.4,1.0,3.20416,3.0,0.0,0.0,7.0,1.0,2.39041,-0.638335,-3.89185,1.08669,64.0,6.18983,2.25134,-0.8373,2.51962,1.0,0.0,0.0,4.4317,1.17813,0.0,1.66667,212.551,6.33227,0.0297917,9.0,6.4,3.0,1.77639,2.0938,0.822398,1.49506,4.0,4663.0,4663.0,Diversified,inst_0326
79,107,8.0,4.7,1.0,3.0203,2.0,5.0,2.0,8.0,0.0588074,0.775878,0.416015,-0.00106502,0.158198,47.0,3.82823,-1.73572,-3.81907,2.36409,0.384,6.0,0.944216,11.2206,5.95708,0.365711,4.35944,133.73,2.73007,0.0204148,7.0,4.7,1.0,2.40601,1.86733,0.0,1.17789,4.0,3599.0,1997.0,Diversified,inst_0005
5,5,6.0,2.4,1.0,1.89737,4.0,0.0,1.0,6.0,1.0,0.169498,-0.689393,-1.5965,0.501778,24.0,8.77627,3.03072,-0.12528,3.02176,0.0,2.0,0.1959,4.29745,-1.47273,-5.00287,2.435,12.0488,2.83055,0.234923,5.0,2.4,1.0,1.64655,0.992143,0.0,1.21032,4.0,1471.0,605.0,Diversified,inst_0288
21,35,8.0,5.5,3.0,1.64992,3.0,0.0,5.0,7.0,1.0,-0.0885091,-0.550972,-1.01893,0.224664,55.0,7.90019,4.74021,0.902594,1.93856,0.18,5.0,1.46316,0.0,-3.97923,-9.6104,3.41931,18.02,3.92031,0.217554,10.0,5.5,1.0,3.92287,1.90308,0.763949,1.43505,4.0,3589.0,3589.0,Diversified,inst_0836
83,83,10.0,7.2,2.0,2.29976,0.0,2.0,3.0,10.0,5.56268e-309,1.44201,-0.152319,-1.67253,0.678124,72.0,6.15929,0.615129,-3.32129,2.59822,0.178,4.0,0.0757591,9.04868,0.799319,-5.69265,3.74688,454.932,3.70857,0.00815192,10.0,7.2,1.0,3.11983,2.37788,0.938214,1.35219,4.0,5320.0,5320.0,Diversified,inst_0498
1,1,7.0,3.7,1.0,2.49666,3.0,0.0,2.0,7.0,1.0,0.538332,-0.888534,-2.63097,0.697857,37.0,11.0,2.62646,0.0,3.10107,0.243,2.0,0.148152,2.62918,-1.75574,-8.2153,3.6429,89.7202,4.92791,0.0549253,8.0,3.7,1.0,2.66875,1.42047,0.0,1.33534,4.0,2328.0,1635.0,Diversified,inst_0347
1,1,9.0,6.8,1.0,3.11983,1.0,1.0,1.0,9.0,0.0806769,1.49377,1.14135,0.885854,0.131927,68.0,4.5515,-3.15443,-7.62364,3.60404,1.0,1.0,6.13518e-09,18.4272,12.1093,1.3073,6.79675,147.218,8.95548,0.0608315,9.0,6.8,1.0,2.48551,2.33749,0.82355,1.2686,4.0,5053.0,5053.0,Diversified,inst_0785
6,11,10.0,8.5,4.0,1.77951,3.0,0.0,1.0,7.0,1.0,0.799707,-0.871657,-2.10372,0.581105,85.0,7.88507,3.5843,-1.04283,2.75491,0.492,2.0,0.441984,1.89969,-0.272911,-3.0651,1.61447,111.591,8.05512,0.0721844,10.0,8.5,3.0,2.01384,2.68366,2.37112,1.28765,4.0,6613.0,6613.0,Diversified,inst_0721
1,1,2.0,1.2,1.0,0.421637,0.0,0.0,1.0,10.0,1.0,-0.813004,-1.2695,-1.69504,0.238128,12.0,8.40958,1.82755,0.0,2.46217,0.479,1.0,1.49463e-08,9.18419,0.301067,-6.69062,3.91919,10.7834,2.22634,0.20646,2.0,1.2,1.0,0.421637,0.458831,0.0,1.0,4.0,972.0,4.0,Diversified,inst_0904
1,7,8.0,6.0,4.0,1.05409,1.0,1.0,0.0,9.0,0.0621774,3.30589,0.676142,-0.973379,0.914412,60.0,2.2407,-3.53991,-10.3546,4.25442,0.125,3.0,0.406217,10.1618,3.98274,-0.576366,3.79165,5199.93,6.14493,0.00118173,10.0,6.0,1.0,3.65148,2.03876,0.758468,1.43223,4.0,4078.0,4078.0,Diversified,inst_0648
3,13,8.0,3.9,1.0,2.55821,2.0,4.0,0.0,8.0,1.89981e-13,2.62411,1.29007,0.120242,0.636168,39.0,5.18832,-2.68057,-6.72269,3.74675,0.187,4.0,1.71858,5.97532,2.39689,0.0,1.89053,20.0358,6.90659,0.344713,9.0,3.9,1.0,2.37814,1.43495,0.547636,1.39423,4.0,2300.0,2300.0,Diversified,inst_0089
1,1,9.0,6.8,1.0,3.2249,3.0,0.0,0.0,7.0,0.433398,2.44405,1.78705,0.946175,0.309251,68.0,6.64958,1.50156,-0.694424,2.18822,1.0,0.0,0.0,11.3122,4.72042,1.89235,2.5682,179.514,13.8532,0.0771708,9.0,6.8,2.0,2.04396,2.26885,0.386299,1.38193,4.0,5039.0,5039.0,Diversified,inst_0629
48,62,10.0,8.4,6.0,1.17379,1.0,0.0,0.0,9.0,1.0,2.12106,-0.438114,-2.14788,0.842131,84.0,3.19939,1.10898,0.242962,0.888022,0.0,1.0,0.00269063,7.70485,0.339467,-4.73377,3.60869,22.5032,4.9133,0.218338,10.0,8.4,1.0,2.79682,2.61794,0.944128,1.37443,4.0,6474.0,6474.0,Diversified,inst_0718
8,15,6.0,2.7,1.0,1.82878,2.0,3.0,0.0,8.0,1.2268e-13,1.02619,0.383278,-0.130123,0.271046,27.0,4.39145,0.362812,-1.06291,1.67119,0.114,3.0,1.11168,10.7646,3.1393,0.0,3.39654,23.7589,1.67974,0.0706995,7.0,2.7,1.0,1.94651,1.07369,0.0,1.26682,4.0,1784.0,822.0,Diversified,inst_0029
41,93,7.0,4.2,1.0,2.78089,0.0,0.0,5.0,10.0,1.0,0.689359,-0.965397,-2.71637,0.826289,42.0,15.4716,5.98695,0.131059,4.98482,0.0,6.0,0.855965,-3.04752,-5.34718,-12.0678,2.8363,128.641,6.16047,0.0478891,7.0,4.2,1.0,2.39444,1.70193,0.0,1.20344,4.0,3302.0,1304.0,Diversified,inst_0413
1,1,8.0,6.3,5.0,1.1595,3.0,0.0,0.0,7.0,0.128654,1.36379,0.432938,-0.75262,0.487992,63.0,10.0,2.36597,-0.687501,3.21457,1.0,0.0,0.0,4.84093,2.12973,0.0,1.67558,50.6475,3.44686,0.0680558,10.0,6.3,1.0,3.62246,2.09087,0.781897,1.46521,4.0,4435.0,4435.0,Diversified,inst_0310
5,7,8.0,5.6,2.0,2.36643,1.0,0.0,0.0,9.0,0.0275981,1.81504,0.114594,-1.67789,0.841921,56.0,5.37294,0.449312,-3.88386,2.68582,0.0,2.0,0.248793,3.57333,1.22105,-1.457,1.73862,18.1188,3.651,0.201504,9.0,5.6,1.0,2.95146,1.85709,0.893893,1.52435,4.0,3804.0,3804.0,Diversified,inst_0609
9,33,10.0,4.4,1.0,2.95146,3.0,0.0,4.0,7.0,1.0,1.00375,-0.417735,-1.5571,0.586264,44.0,8.92402,3.64222,0.270235,2.824,0.0,5.0,0.143953,2.54918,-2.54634,-10.812,4.29559,23.1061,2.85418,0.123525,6.0,4.4,2.0,1.07497,1.50991,0.71014,1.49471,4.0,2752.0,2752.0,Diversified,inst_0837
1,1,10.0,8.5,7.0,1.08012,2.0,2.0,2.0,8.0,0.557447,2.36852,1.20931,-0.0997685,0.500749,85.0,-2.00312,-4.12298,-6.77531,1.59332,1.0,2.0,3.26225e-10,9.198,6.57499,3.47803,1.79855,37.2755,10.8723,0.291673,10.0,8.5,4.0,2.12132,2.59616,3.51356,1.44808,4.0,6517.0,6517.0,Diversified,inst_0563
1,1,8.0,5.1,2.0,2.23358,0.0,2.0,1.0,10.0,1.17924e-13,1.78229,1.00174,0.662971,0.202055,51.0,1.12397,-0.552573,-1.70426,1.05421,0.757,2.0,0.382421,10.0637,4.98258,0.0,3.48803,27.4137,6.2957,0.229655,9.0,5.1,1.0,3.10734,1.72071,0.800217,1.51235,4.0,3210.0,3210.0,Diversified,inst_0352
1,1,7.0,2.8,1.0,2.34758,3.0,0.0,1.0,7.0,1.0,-1.59023,-1.92957,-2.37401,0.209436,28.0,6.55787,2.01355,0.0,2.27565,0.479,1.0,0.0492994,2.70051,0.197362,-3.10207,1.52865,20.5225,8.29321,0.404103,5.0,2.8,1.0,1.54919,1.09241,0.0,1.29085,4.0,1858.0,864.0,Diversified,inst_0135
1,1,7.0,1.8,1.0,1.8738,5.0,0.0,2.0,5.0,1.0,-0.417313,-1.49779,-3.46726,0.856202,18.0,28.1435,4.40231,0.0,8.56239,0.493,2.0,0.177564,2.10521,-1.06778,-4.44154,2.21124,6.2787,4.65049,0.740677,3.0,1.8,1.0,0.788811,0.772746,0.0,1.11028,4.0,1055.0,137.0,Diversified,inst_0940
8,19,3.0,1.5,1.0,0.707107,1.0,0.0,5.0,9.0,1.0,-0.704904,-1.26721,-1.86816,0.299559,15.0,10.3227,3.66238,0.0,3.28033,0.038,5.0,2.0184,1.44754,-2.61114,-6.34622,3.02646,5.97206,3.20959,0.537435,4.0,1.5,1.0,1.08012,0.643429,0.0,1.052,4.0,1196.5,32.0,Diversified,inst_0143
5,17,10.0,7.0,1.0,2.78887,3.0,0.0,0.0,7.0,0.0884219,2.23571,0.514237,-1.60342,0.748045,70.0,8.21932,-1.17165,-7.29853,4.07061,0.0,2.0,0.341881,6.1116,1.84458,-1.79728,2.26613,105.39,5.25748,0.0498858,9.0,7.0,3.0,2.10819,2.2297,0.926434,1.50898,4.0,5105.0,5105.0,Diversified,inst_0941
1,1,8.0,2.3,1.0,2.26323,4.0,0.0,0.0,6.0,1.0,-1.06081,-1.65971,-2.43218,0.31979,23.0,3.0,1.60458,0.481891,0.803013,1.0,0.0,0.0,2.66524,1.28639,0.114444,0.834349,9.02029,6.13074,0.679661,5.0,2.3,1.0,1.56702,1.02373,0.0,1.1421,4.0,1340.0,506.0,Diversified,inst_0082
45,51,5.0,4.0,2.0,1.1547,1.0,6.0,0.0,9.0,0.000199611,1.1335,0.708677,0.405286,0.18793,40.0,-0.782226,-4.88394,-8.06962,2.3179,0.092,6.0,1.4408,8.00269,3.56787,0.00179635,3.59276,44.5197,3.89815,0.0875601,9.0,4.0,1.0,3.68179,1.58734,0.380718,1.26741,4.0,2346.0,2346.0,Diversified,inst_0083
5,9,9.0,5.6,1.0,3.27278,3.0,0.0,2.0,7.0,1.0,-0.0900341,-0.698993,-1.39987,0.325267,56.0,13.3917,7.60327,0.0740074,4.7736,0.243,2.0,0.00253785,-0.610899,-3.66685,-6.90489,1.80873,164.462,5.02816,0.0305733,8.0,5.6,1.0,2.27058,1.94918,0.697701,1.41091,4.0,3867.0,3867.0,Diversified,inst_0858
5,7,9.0,7.6,2.0,2.50333,5.0,0.0,1.0,5.0,1.0,0.592802,-0.506409,-1.35868,0.432163,76.0,5.47181,2.52387,0.0428323,1.95099,0.0,2.0,0.393243,1.54455,-5.73938,-12.2506,4.68578,53.7426,4.37279,0.0813655,10.0,7.6,3.0,1.95505,2.45881,1.37308,1.36254,4.0,5764.0,5764.0,Diversified,inst_0079
128,164,10.0,8.8,6.0,1.39841,0.0,0.0,1.0,10.0,0.369775,1.62823,0.327618,-1.2876,0.623229,88.0,1.21465,-9.7542,-17.0389,6.03316,0.071,4.0,1.26596,4.25847,2.72488,0.16838,1.42363,38.0543,4.41797,0.116097,10.0,8.8,5.0,1.47573,2.65092,4.56245,1.45739,4.0,6834.0,6834.0,Diversified,inst_0635
1,1,6.0,3.0,1.0,2.16025,0.0,0.0,0.0,10.0,9.71079e-309,0.993286,0.110682,-0.907663,0.486156,30.0,9.71019,2.11287,0.00636762,2.95048,1.0,0.0,0.0,5.1488,2.75635,-0.460276,2.09442,1721.02,1.8273,0.00106175,6.0,3.0,1.0,2.16025,1.33356,0.0,1.14479,4.0,2360.0,580.0,Diversified,inst_0370
3,9,7.0,3.9,1.0,2.13177,5.0,3.0,0.0,5.0,0.134544,1.63738,0.758271,-0.211404,0.445358,39.0,-0.394732,-4.62908,-10.8661,3.13607,0.265,3.0,0.533286,8.31837,3.81542,0.151781,2.67484,12.8055,4.02924,0.314649,8.0,3.9,1.0,2.76687,1.40653,0.657731,1.42147,4.0,2212.0,2212.0,Diversified,inst_0545
5,9,10.0,9.8,9.0,0.421637,2.0,0.0,3.0,8.0,1.0,-1.00102,-1.53943,-2.41113,0.29124,98.0,27.6009,23.7946,19.0246,2.64489,0.112,3.0,0.00360018,-29.0224,-35.5957,-40.2879,3.48319,147.351,15.1765,0.102995,10.0,9.8,8.0,0.632456,3.00526,7.31534,1.10454,4.0,7888.0,7888.0,Diversified,inst_0285
1,1,9.0,5.0,1.0,2.90593,4.0,0.0,0.0,6.0,2.27993e-13,0.44652,0.21775,-0.108871,0.124677,50.0,3.96109,0.94828,-0.0864176,1.47491,1.0,0.0,0.0,11.4564,2.44986,0.0,3.47894,54.1848,1.4057,0.0259426,8.0,5.0,2.0,1.76383,1.67744,0.373327,1.52541,4.0,3363.0,3363.0,Diversified,inst_0649
1,1,6.0,2.4,1.0,1.64655,0.0,1.0,0.0,10.0,9.13517e-14,1.23207,0.923886,0.654109,0.169838,24.0,2.05954,0.205992,-1.90756,1.08336,0.521,1.0,0.274954,8.98074,2.36868,0.0,3.40071,93.7725,3.45346,0.036828,6.0,2.4,1.0,1.89737,1.01107,0.0,1.19535,4.0,1643.0,455.0,Diversified,inst_0142
